month,day,len,rang90,rang95,gamma_moments_90,gamma_moments_95,a_moments,b_moments
1,1,150,4.31,6.0,4.46,6.31,0.51306,3.22901
1,2,150,4.3,5.955,4.32,6.19,0.4743,3.33401
1,3,150,3.94,5.13,3.99,5.64,0.51686,2.87245
1,4,150,4.21,5.675,4.05,5.75,0.50194,2.98706
1,5,150,3.4,4.355,3.28,4.44,0.70594,1.85286
1,6,150,3.22,4.11,3.12,4.2,0.74905,1.68748
1,7,150,3.2,4.255,3.29,4.43,0.7428,1.78962
1,8,150,3.31,4.465,3.35,4.54,0.70386,1.89717
1,9,150,3.41,4.92,3.58,4.95,0.611,2.26513
1,10,150,3.85,5.155,3.7,5.11,0.60814,2.34595
1,11,150,4.6,5.75,4.02,5.51,0.63857,2.45235
1,12,150,4.61,5.31,3.94,5.39,0.64795,2.37671
1,13,150,3.83,5.31,3.86,5.29,0.63887,2.35519
1,14,150,3.8,4.9,3.61,4.84,0.76563,1.91738
1,15,150,3.4,4.855,3.62,4.86,0.75581,1.94052
1,16,150,3.41,4.23,3.41,4.59,0.75132,1.8412
1,17,150,3.5,4.23,3.36,4.59,0.66386,1.99339
1,18,150,3.61,4.955,3.41,4.71,0.61583,2.14343
1,19,150,3.61,5.11,3.3,4.67,0.50971,2.40138
1,20,150,3.84,5.255,3.21,4.61,0.46443,2.51778
1,21,150,4.42,5.355,3.38,4.93,0.41851,2.88162
1,22,150,4.42,5.355,3.47,4.98,0.4599,2.73828
1,23,150,4.11,5.41,3.47,5.01,0.44938,2.79644
1,24,150,4.72,5.8,4.01,5.8,0.44324,3.26538
1,25,150,4.72,5.555,4.08,5.85,0.47016,3.16769
1,26,150,4.72,5.5,3.93,5.51,0.5471,2.70641
1,27,150,4.7,5.5,4.05,5.7,0.53067,2.8555
1,28,150,4.61,5.555,4.17,5.82,0.56698,2.79493
1,29,150,4.51,5.5,3.91,5.37,0.64105,2.38361
1,30,150,4.12,5.255,3.79,5.21,0.62723,2.34684
1,31,150,3.52,4.6,3.49,4.88,0.55,2.3903
2,1,150,3.61,5.1,3.56,4.98,0.55165,2.4339
2,2,150,3.51,4.875,3.23,4.59,0.49285,2.41184
2,3,150,3.4,4.555,3.55,5.28,0.37447,3.31672
2,4,150,3.42,5.21,3.78,5.58,0.3967,3.37286
2,5,150,3.33,5.21,3.76,5.53,0.40132,3.32071
2,6,150,3.32,4.8,3.64,5.35,0.40566,3.18821
2,7,150,3.82,5.355,3.87,5.6,0.43928,3.17183
2,8,150,3.51,4.8,3.27,4.59,0.53342,2.29463
2,9,150,3.51,4.8,3.54,5.34,0.35014,3.50526
2,10,150,4.11,5.13,3.84,5.82,0.33919,3.9015
2,11,150,3.44,4.7,3.56,5.5,0.30428,3.97219
2,12,150,3.31,4.565,3.48,5.37,0.30787,3.84573
2,13,150,3.64,4.755,3.64,5.52,0.34015,3.69447
2,14,150,3.21,4.41,3.07,4.4,0.47315,2.37417
2,15,150,3.21,4.41,3.1,4.35,0.55133,2.12457
2,16,150,3.6,4.755,3.42,4.77,0.57133,2.2789
2,17,150,3.6,4.555,3.45,4.75,0.6244,2.14287
2,18,150,3.51,4.2,3.45,4.84,0.5411,2.39634
2,19,150,3.42,4.2,3.32,4.72,0.49277,2.48255
2,20,150,3.4,4.11,3.01,4.31,0.46497,2.3543
2,21,150,3.42,4.2,3.14,4.55,0.43358,2.59854
2,22,150,3.21,4.605,3.35,4.98,0.37684,3.11716
2,23,150,2.75,4.0,3.25,4.73,0.42563,2.73474
2,24,150,3.21,4.0,3.35,4.83,0.45374,2.67557
2,25,150,3.21,3.7,3.26,4.7,0.45081,2.61455
2,26,150,3.21,5.33,3.87,5.91,0.32279,4.10168
2,27,128,3.5,5.39,4.07,6.22,0.32294,4.31578
2,28,128,3.43,5.195,3.83,6.03,0.27823,4.62743
2,29,128,3.5,5.195,3.87,6.08,0.28157,4.62525
3,1,128,3.76,5.69,4.23,6.41,0.33736,4.31431
3,2,128,3.43,4.03,3.08,4.46,0.43402,2.54704
3,3,150,3.31,4.12,2.88,4.17,0.44125,2.35243
3,4,150,3.5,4.96,3.09,4.47,0.44503,2.50918
