WMO,a,b,q
20069,2.51692,6.75464,0.00000
20087,1.52189,10.16703,0.00000
20107,2.23870,21.03043,0.00000
20292,1.84514,9.33039,0.00000
20667,1.99139,10.75776,0.00362
20674,3.28550,9.85504,0.00000
20744,2.76670,9.17614,0.00287
20891,1.99166,11.86606,0.00278
20982,2.52503,11.83818,0.00567
21432,1.28461,10.21134,0.00563
21802,1.71782,8.75920,0.00000
21824,1.50736,16.46767,0.00000
21908,1.42616,15.38999,0.00285
21921,1.63172,18.68006,0.00298
21931,1.91736,9.41827,0.00920
21946,1.77603,9.20331,0.00000
21982,1.56214,7.88003,0.00568
22003,4.12714,10.40869,0.00000
22019,3.13999,14.15341,0.00000
22028,2.98710,13.04214,0.00000
22095,2.31188,11.75757,0.00000
22113,3.19989,13.51419,0.00000
22140,2.43767,13.31445,0.00000
22165,3.42409,10.63351,0.00000
22217,3.31243,14.33321,0.00000
22235,3.37049,13.55132,0.00000
22292,2.71364,13.19056,0.00000
22324,3.23198,14.29055,0.00000
22355,2.05339,14.12298,0.00000
22408,3.40012,14.51779,0.00000
22422,2.77045,14.09035,0.00000
22438,2.31633,12.67701,0.00000
22520,2.58619,16.93099,0.00000
22550,3.28714,16.05092,0.00000
22583,4.26356,11.51418,0.00000
22602,3.37200,15.35029,0.00000
22641,3.15105,16.81035,0.00000
22768,3.17503,14.94048,0.00000
22802,2.97490,18.97503,0.00000
22820,3.15629,16.09421,0.00000
22837,3.23027,18.04002,0.00000
22845,3.41955,16.35084,0.00000
22887,3.09812,16.11120,0.00000
22892,2.51589,23.20379,0.00000
23022,2.73839,12.73089,0.00000
23032,2.37280,11.66529,0.00000
23074,2.89521,14.14768,0.04911
23205,3.52357,12.21219,0.00000
23219,2.92985,13.47424,0.00000
23242,2.36129,9.23260,0.00000
23256,3.27685,14.69733,0.00000
23274,3.26348,14.37808,0.00000
23324,3.61219,13.08527,0.00000
23330,2.64799,14.94381,0.00000
23345,2.26465,13.25568,0.00000
23383,2.13683,18.01722,0.00000
23405,3.40754,13.80094,0.00000
23412,3.74219,12.18157,0.00000
23418,4.03795,13.22871,0.00000
23527,2.44910,18.20333,0.00284
23552,3.34710,13.92915,0.00000
23631,2.54060,17.39700,0.00000
23662,3.04034,15.50970,0.00000
23678,3.12950,16.89442,0.00000
23711,3.92467,13.69894,0.00000
23724,2.11224,21.11621,0.00310
23734,2.88395,17.80164,0.00000
23804,3.70540,14.64284,0.00000
23867,2.65255,18.41076,0.00000
23884,3.51783,14.14785,0.00000
23891,2.70616,15.76111,0.00000
23914,4.44661,15.14365,0.00278
23921,1.77629,25.93931,0.00000
23933,2.36571,19.26469,0.00000
23946,2.65139,18.50976,0.00000
23955,2.40891,18.34220,0.00278
23986,2.69881,20.65307,0.00000
24125,2.19406,11.40114,0.00000
24136,1.87257,12.18266,0.00000
24143,1.60051,17.18948,0.00000
24266,1.20019,12.64748,0.00843
24329,1.53189,16.24633,0.00000
24343,1.84235,16.28886,0.00000
24382,1.03158,17.33072,0.01117
24507,1.81547,17.19732,0.00000
24606,1.74835,16.68545,0.00000
24641,1.66572,14.62971,0.00000
24661,0.96132,36.35399,0.00285
24679,0.73023,32.95025,0.02548
24688,1.12995,16.21815,0.00281
24713,1.52387,18.79515,0.00290
24738,1.78800,14.13911,0.00000
24790,1.06939,22.81754,0.00278
24802,1.93763,15.32830,0.00000
24817,2.16509,14.06173,0.00000
24908,2.64456,12.89859,0.00000
24923,2.17491,16.16677,0.00000
24944,1.84399,15.53580,0.00000
24951,1.52866,17.86882,0.00000
24959,1.42807,13.61192,0.00000
24966,1.40290,18.57511,0.00000
24967,1.43031,17.31166,0.00283
25042,1.88878,4.88791,0.01127
25138,1.63718,12.11642,0.00563
25173,1.57908,14.69671,0.00407
25206,1.42993,15.58996,0.00287
25248,1.37572,9.92854,0.01320
25325,1.54460,14.32026,0.00380
25356,1.45450,17.95371,0.00576
25400,1.47118,18.12814,0.00557
25428,1.26378,17.79925,0.00562
25503,1.57253,14.10511,0.00599
25551,1.82224,18.58009,0.00000
25563,1.62061,19.51315,0.00000
25594,1.08698,36.95701,0.00000
25703,1.70594,15.77169,0.00279
25744,1.71024,17.77034,0.00000
25913,1.03746,47.01694,0.00278
25927,1.63428,26.33517,0.00000
25954,1.46751,24.92045,0.00787
25956,1.64114,23.95144,0.00000
26063,3.12536,17.80446,0.00000
26094,3.89955,16.34085,0.00000
26258,3.33743,17.18671,0.00557
26275,2.95088,18.55848,0.00000
26477,2.60170,19.91168,0.00000
26702,2.70606,25.09432,0.00000
26781,2.80642,22.01935,0.00000
26898,2.89672,19.04454,0.00000
26976,2.69081,20.12334,0.00000
27037,2.92011,16.20032,0.00000
27051,3.46819,14.96450,0.00000
27066,3.50599,15.51180,0.00000
27199,3.32751,17.07049,0.00000
27225,3.29556,16.95836,0.00000
27333,2.75414,18.68713,0.00000
27385,2.55996,18.51947,0.00000
27459,3.05531,18.15064,0.00000
27485,2.74591,17.39382,0.00000
27509,2.87437,19.04774,0.00000
27595,3.03683,15.45757,0.00000
27612,3.27130,18.14025,0.00000
27648,2.72303,19.50747,0.00000
27665,2.77311,17.29774,0.00000
27675,2.09644,19.47997,0.00000
27730,2.78433,17.37319,0.00000
27823,2.27297,19.93281,0.00000
27857,2.43975,18.58734,0.00000
27872,2.50712,17.49803,0.00000
27947,2.32596,17.94887,0.00000
27995,2.04103,17.99951,0.00278
28064,2.08243,20.28450,0.00278
28138,3.35904,21.42261,0.00000
28144,1.85276,25.99921,0.00000
28224,2.72092,21.08817,0.00000
28255,2.24563,20.06467,0.00000
28275,1.94777,21.31403,0.00278
28367,1.76357,22.52706,0.00000
28418,2.83504,16.87192,0.00000
28419,2.37352,17.40324,0.00279
28434,2.30558,20.70544,0.00000
28440,1.78809,24.84927,0.00000
28493,2.06481,18.96955,0.00278
28537,1.94136,22.75469,0.00000
28552,1.60356,24.18971,0.00000
28573,1.83808,19.43349,0.00279
28630,1.99695,28.41354,0.00000
28661,1.69629,19.14184,0.00278
28666,1.62510,18.78347,0.00000
28698,2.12682,16.31828,0.00000
28704,2.13386,18.31803,0.00000
28719,2.48784,18.69295,0.00279
28722,2.41258,19.82387,0.00000
28748,1.76481,17.78035,0.00000
28802,2.27333,17.19525,0.00278
28825,2.38999,19.16718,0.00000
28833,1.45176,21.41123,0.00309
28900,2.20287,20.78817,0.00278
29023,2.61736,19.59635,0.00000
29111,2.63317,17.67897,0.00000
29154,2.93446,14.78210,0.00000
29231,2.31170,19.54061,0.00000
29263,2.71648,15.08342,0.00000
29282,2.23664,13.48539,0.00000
29313,2.17810,20.25718,0.00000
29328,1.99832,20.73599,0.00000
29348,2.33905,16.54291,0.00000
29418,2.00962,20.02729,0.00000
29467,2.23458,17.21018,0.00000
29539,2.91259,15.53323,0.00000
29541,2.96763,16.88892,0.00000
29557,1.59734,25.28857,0.00000
29570,2.05965,20.52772,0.00000
29580,1.99915,20.09683,0.00000
29594,2.19267,18.01483,0.01114
29605,1.89054,17.31979,0.00278
29612,2.14038,15.14973,0.00000
29698,1.13255,31.57971,0.00000
29752,3.85586,35.64528,0.00000
29789,0.75231,63.53724,0.00279
29822,1.89353,15.30879,0.00557
29858,2.63450,27.71278,0.00000
29866,1.12337,28.06656,0.00000
29915,1.92750,13.26476,0.00000
29939,2.26891,19.87662,0.00000
29974,2.84506,36.17961,0.00000
30028,1.52845,15.57241,0.00000
30054,3.09763,12.87756,0.00000
30069,0.91946,33.71296,0.00000
30089,1.62027,20.66691,0.00000
30219,2.50089,14.72931,0.00000
30230,2.12812,15.13942,0.00000
30309,1.96140,15.84911,0.00000
30328,1.93847,19.47278,0.00000
30372,0.63349,51.32294,0.02778
30385,0.79658,53.81297,0.00833
30393,1.46097,34.43317,0.00000
30433,1.36256,21.98872,0.00279
30437,1.54299,22.12270,0.00000
30471,0.63501,57.76100,0.04828
30493,0.86428,59.67916,0.00000
30504,1.25039,28.88680,0.00000
30521,1.28898,23.02483,0.00000
30554,0.58264,58.22797,0.02778
30555,0.62702,55.66135,0.01111
30612,1.11428,24.93726,0.00000
30627,0.87997,33.45762,0.00279
30632,0.76460,27.07479,0.03064
30635,1.09317,28.11074,0.00000
30636,1.13656,26.30136,0.01111
30650,0.66857,45.42628,0.03073
30673,0.68445,54.12645,0.01117
30692,0.73999,52.82533,0.01216
30695,0.76498,53.82109,0.01111
30703,1.71158,24.98198,0.00000
30710,1.20469,33.04935,0.00000
30727,0.69580,32.48181,0.01412
30745,0.67470,38.10424,0.02222
30758,0.59974,48.76394,0.02778
30777,0.70887,45.54466,0.00833
30811,0.65281,49.14655,0.00833
30815,1.82014,62.52897,0.00000
30822,1.36790,33.15017,0.00000
30823,0.78868,26.85475,0.02778
30844,0.81766,38.65210,0.00278
30859,0.59860,47.25274,0.01389
30879,0.69449,50.73347,0.00833
30915,0.59349,59.08962,0.00833
30925,0.73930,39.71239,0.01111
30935,0.70969,40.16564,0.01111
30949,0.57415,54.00571,0.05000
30954,0.55579,50.54071,0.05278
30965,0.62470,39.96584,0.02786
31004,2.05614,30.25353,0.00000
31026,1.60900,21.87443,0.00000
31062,1.01431,30.47987,0.00000
31088,0.85409,53.17836,0.01397
31102,1.18334,40.84830,0.00000
31152,1.25530,24.37501,0.00833
31168,0.84847,97.48169,0.02500
31174,1.20046,40.23495,0.00559
31253,0.92879,50.38405,0.00872
31285,1.04652,53.66099,0.00556
31329,0.99249,57.85769,0.00280
31369,1.79293,31.19546,0.00000
31371,0.77551,51.03474,0.01389
31388,0.87692,53.08888,0.00838
31416,1.06722,40.75836,0.00833
31436,1.44041,38.85911,0.00299
31439,1.46543,29.39472,0.00000
31443,0.75499,64.02846,0.01120
31510,0.74888,63.98847,0.01111
31532,0.85893,62.41865,0.00282
31538,0.87192,63.48204,0.00279
31562,1.36235,38.89547,0.00000
31594,0.91792,58.65381,0.00559
31707,0.71824,77.49025,0.03352
31770,1.26777,50.70167,0.00281
31829,1.03898,64.77949,0.00427
31845,1.48155,49.51010,0.00000
31873,1.13012,48.97510,0.00000
31895,1.29679,45.28603,0.00000
31909,1.13330,63.59055,0.02500
31915,0.75327,68.52214,0.02778
31931,1.33964,40.89816,0.00000
31959,1.04031,64.44798,0.03056
31960,0.92033,78.79471,0.01950
31961,0.93057,58.21494,0.01667
31969,0.74901,88.24209,0.03621
32014,1.80449,25.37221,0.00000
32027,1.82805,24.11887,0.00000
32053,2.25906,27.48180,0.00000
32061,2.36145,24.92667,0.00000
32071,2.70368,22.78359,0.00278
32076,1.88330,36.88150,0.00000
32088,2.45542,22.96420,0.00000
32098,1.65379,39.91696,0.00278
32099,1.96890,25.86838,0.00000
32121,2.74355,24.06738,0.00000
32145,3.12829,24.99539,0.00000
32150,2.62630,27.91630,0.00000
32165,2.69438,40.14811,0.00000
32174,3.10458,33.12998,0.00000
32252,1.20049,31.51922,0.01210
32287,1.30636,33.23101,0.00289
32363,1.78961,18.42328,0.00000
32389,2.67579,20.68996,0.00000
32411,1.27410,39.89039,0.00356
32477,1.61735,41.06229,0.00000
32509,2.20124,47.29164,0.00000
32539,2.46450,30.59374,0.00000
32583,1.97930,49.57800,0.00000
32586,2.43610,32.81952,0.00000
32618,3.04326,18.37335,0.00000
34009,2.60144,20.31998,0.00556
34110,2.62335,18.60665,0.00000
34123,2.37135,20.06016,0.00000
34139,2.22264,19.08755,0.00000
34163,2.13481,16.72124,0.00000
34172,2.02289,19.16939,0.00000
34186,1.99173,15.79827,0.00000
34202,2.53191,19.65570,0.00000
34240,2.03892,17.28435,0.00000
34321,2.10466,22.77254,0.00278
34356,1.88234,19.59868,0.00556
34391,1.82711,14.24285,0.00833
34432,2.02859,22.47869,0.00000
34476,1.52485,14.23986,0.00556
34561,1.64282,19.80392,0.00556
34579,1.45651,15.92136,0.00833
34720,1.88344,25.39651,0.00279
34730,1.80819,28.04617,0.00000
34740,1.96084,21.93390,0.00000
34861,1.96414,16.53171,0.01111
34866,1.28132,18.41603,0.00557
34880,1.29381,15.16252,0.02500
34927,2.05340,29.74322,0.00279
35007,2.02981,18.37944,0.00278
35026,2.03085,21.21569,0.00000
35041,1.99568,14.44414,0.00000
35121,2.03709,14.51267,0.00556
36034,1.80155,15.55185,0.00000
36038,2.80416,21.04625,0.00000
36055,2.18915,27.87327,0.00000
36064,1.45509,50.30984,0.00000
36096,1.06669,18.56136,0.00557
36103,1.17204,24.13599,0.00000
36229,1.35700,29.14846,0.00000
36259,0.76469,15.23470,0.11699
36307,0.95157,16.33453,0.01136
36442,1.66116,29.17259,0.00000
37018,1.91223,61.85971,0.00000
37031,2.12706,25.40083,0.00000
37054,1.72068,24.79001,0.00000
37061,2.09021,17.07592,0.00000
37099,2.52538,54.44080,0.00000
37107,2.71247,59.45568,0.00000
37123,1.51204,37.20905,0.00279
37228,1.59487,49.59205,0.00000
37235,1.89435,23.98443,0.00000
37244,1.87818,21.84002,0.00000
37461,1.63248,48.61340,0.00581
37470,1.19653,28.33333,0.00575
37471,1.53844,25.33437,0.00287
37472,1.42052,22.21551,0.00287
37663,1.56411,21.53724,0.01437
